Restaurant	Address
Ravintola Sunn	Aleksanterinkatu 26, 00170 Helsinki
Southpark	Bulevardi  40, 00120 Helsinki
Da Spizzico	Länsisatamankatu 36, 00220 Helsinki
Meritorppa	Kalastajatorpantie 1, 00330 Helsinki
Skiffer Viiskulma	Laivurinkatu 10, 00150 Helsinki
Bistro O Mat Hakaniemi	Toinen linja 7, 00530 Helsinki
Makaronitehdas Forum	Mannerheimintie 18, 00100 Helsinki
Ekberg	Bulevardi 9, 00100 Helsinki
Ginza Sushi Bar Kluuvi	Aleksanterinkatu 9, 00100 Helsinki
Factory Kamppi	Runeberginkatu 3, 00100 Helsinki
Tandoori Flames	Mäkelänkatu 30, 00510 Helsinki
B5 BLACK	Sandelsinkatu 1, 00260 Helsinki
Ravintola Piilo	Lönnrotinkatu 34, 00180 Helsinki
The Tower - Wine & Craft Beer	Firdonkatu 2b, 00520 Helsinki
Moko Market Café & Store Punavuori / Brunssi	Perämiehenkatu 10, 00150 Helsinki
Bröd Punavuori	Bulevardi 26, 00120 Helsinki
Relove Töölö	Sandelsinkatu 6, 00260 Helsinki
Juttutupa	Säästöpankinranta 6, 00530 Helsinki
Draft Sportsbar	Firdonkatu 2 B, 00520 Helsinki
Capperi - Oulunkylä	Siltavoudintie 9, 00640 Helsinki
Pancho Villa Tripla, Helsinki	Fredikanterassi 1, 00520 Helsinki
Ravintola Sansar	Fredrikinkatu 46, 00100 Helsinki
Famu	Mannerheimintie 46, 00260 Helsinki
Kiasma Café	Mannerheiminaukio 2, 00100 Helsinki
Treffi Herttoniemi	Hiihtomäentie 14, 00810 Helsinki
Relove Freda	Fredrikinkatu 25, 00120 Helsinki
Dylan Böle	Pasilankatu 10, 00240 Helsinki
Restaurant Maharaja Töölö	Mannerheimintie 21, 00250 Helsinki
Bellmanni - Pasila	Maistraatinportti 3 3, 00240 Helsinki
Bierhaus Kamppi	Annanaukio 1, 00101 Helsinki
La Torrefazione Aleksanterinkatu	Aleksanterinkatu 50, 00100 Helsinki
Nepalilainen Ravintola Mountain	Nordenskiöldinkatu 8, 00250 Helsinki
Tiflisi	Malminrinne 2, 00100 Helsinki
YUWA`S	Lönnrotinkatu 33, 00180 Helsinki
Casa Haga	Kylätie 25a, 00320 Helsinki
Cafe & Bistro Hiezu	Hiekkarannantie 11, 00100 Helsinki
Fuji Biyori	Korkeavuorenkatu 47, 00130 Helsinki
Victor's Garden	Eteläranta 16, 00130 Helsinki
The Schnitzel Tripla	Fredikanterassi 1, 00520 Helsinki
Makaronitehdas REDI	Hermannin rantatie 5a, 00580 Helsinki
Fly Fusion Restaurant	Luotsikatu 5, 00160 Helsinki
Ravintola Mestaritalli	Merikannontie 2, 00260 Helsinki
Restaurant Stansvik	Stansvikintie 1, 00590 Helsinki
Minato Sushi	Kalevankatu 55, 00180 Helsinki
Ekeko Cafe Lounge	Vilhonvuorenkatu 3, 00500 Helsinki
Classic Pizza REDI	Hermannin rantatie 5a, 00580 Helsinki
Bastion Bistro	Suomenlinna C8, 00190 Helsinki
Peloton Cycling Eatery	Kaasutehtaankatu 1, 00580 Helsinki
Korjaamo Baari & Keittiö	Töölönkatu 51, 00250 Helsinki
Meyhuone	Kruunuvuorenkatu 4, 00160 Helsinki
Noodle Story Kallio	Alppikatu 5, 00530 Helsinki
Chicco	Caloniuksenkatu 3, 00100 Helsinki
El Fant	Katariinakatu 3, 00170 Helsinki
Bistro Traba	Kaapeliaukio 3, 00180 Helsinki
Green Hippo Punavuori	Punavuorenkatu 2, 00120 Helsinki
Vapiano Mikonkatu	Mikonkatu 15, 00100 Helsinki
Zen Sushi	Snellmaninkatu 16, 00170 Helsinki
Green Hippo Töölö	Sandelsinkatu 2, 00260 Helsinki
Ristorante Momento Eliel	Elielinaukio 5, 00100 Helsinki
Bistro Palo	Vanha Helsingintie 19, 00700 Helsinki
Restaurant Indus	Eteläesplanadi 4, 00130 Helsinki
Taste of Uyghur	Vilhonvuorenkatu 11 A, 00500 Helsinki
Masa’s Pizza Töölö	Messeniuksenkatu 5, 00250 Helsinki
